,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_max_error,split1_test_max_error,split2_test_max_error,split3_test_max_error,split4_test_max_error,mean_test_max_error,std_test_max_error,rank_test_max_error,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error
26,1.9207576751708983,0.015421824675029042,0.03222227096557617,0.0012994678713426657,2,3,200,"{'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 200}",-442.7594880952381,-293.89071031746033,-121.61530952380954,-137.84615476190476,-88.84011904761905,-216.99035634920637,133.16760327654094,37,-80.69180942244586,-43.11368224130767,-41.751275001819295,-18.678070329617093,-13.102859180432475,-39.46753923512448,23.854763181009478,40
27,2.8820847034454347,0.027938073818014775,0.047398042678833005,0.0016922141714419518,2,3,300,"{'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 300}",-444.0562632275132,-292.96995105820105,-122.09453174603178,-136.94607936507936,-88.2208492063492,-216.85753492063492,133.660485144858,34,-80.77110805706852,-42.70658423021722,-41.9685722043711,-18.7858588046178,-13.15807059405723,-39.47803877806637,23.8438707856986,46
28,3.8231298446655275,0.04053719452549574,0.06309118270874023,0.001159091352407607,2,3,400,"{'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 400}",-443.84396230158734,-293.15004067460313,-124.27401488095245,-137.82631845238095,-87.81173214285715,-217.38121369047622,133.27600986379295,43,-80.8172548899045,-42.60853108031971,-41.80986355566362,-18.859552878182956,-13.105595205732042,-39.44015952196057,23.852835236837468,34
29,4.8014623641967775,0.05965975275756427,0.07780885696411133,0.0023651057529743263,2,3,500,"{'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 500}",-443.7774412698413,-292.4002444444444,-125.90789047619052,-137.4168976190476,-89.0765238095238,-217.71579952380952,132.74509501229568,46,-80.85406808514954,-42.5307237730907,-41.868235735698285,-18.70895986624847,-13.051474101450278,-39.40269231232746,23.902708224797124,31
30,0.47536439895629884,0.004892462591527604,0.008912181854248047,0.0004097958234686828,2,4,50,"{'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 50}",-440.0750476190476,-289.08738095238095,-142.00100000000003,-132.56314285714285,-87.4395,-218.23321428571427,129.9937069868037,52,-80.51281765635723,-42.91480865171368,-43.20239237476533,-19.08454657212989,-12.483933209767033,-39.63969969294663,23.891340954400032,52
31,0.9544559478759765,0.012721199736728198,0.016884613037109374,0.0005613634053789399,2,4,100,"{'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 100}",-441.47766666666666,-291.0699682539682,-125.86280952380955,-135.18861904761906,-90.16920238095237,-216.7536531746032,131.87980919107815,25,-80.7048132969031,-42.91675508471634,-42.68541220217736,-18.71283402761723,-13.09641746506262,-39.62324641529533,23.86980182778056,49
32,1.928002166748047,0.023639497744240585,0.032196569442749026,0.0006847006420919173,2,4,200,"{'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 200}",-442.7594880952381,-293.89071031746033,-121.61530952380954,-137.84615476190476,-88.84011904761905,-216.99035634920637,133.16760327654094,37,-80.69180942244586,-43.11368224130767,-41.751275001819295,-18.678070329617093,-13.102859180432475,-39.46753923512448,23.854763181009478,40
33,2.8776209354400635,0.029467433895317578,0.04672904014587402,0.0008236779041895323,2,4,300,"{'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 300}",-444.0562632275132,-292.96995105820105,-122.09453174603178,-136.94607936507936,-88.2208492063492,-216.85753492063492,133.660485144858,34,-80.77110805706852,-42.70658423021722,-41.9685722043711,-18.7858588046178,-13.15807059405723,-39.47803877806637,23.8438707856986,46
34,3.841852617263794,0.02049678695178331,0.06223874092102051,0.0008532631206042853,2,4,400,"{'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 400}",-443.84396230158734,-293.15004067460313,-124.27401488095245,-137.82631845238095,-87.81173214285715,-217.38121369047622,133.27600986379295,43,-80.8172548899045,-42.60853108031971,-41.80986355566362,-18.859552878182956,-13.105595205732042,-39.44015952196057,23.852835236837468,34
35,4.817142057418823,0.04950829647631672,0.07926850318908692,0.0009094598177174678,2,4,500,"{'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 500}",-443.7774412698413,-292.4002444444444,-125.90789047619052,-137.4168976190476,-89.0765238095238,-217.71579952380952,132.74509501229568,46,-80.85406808514954,-42.5307237730907,-41.868235735698285,-18.70895986624847,-13.051474101450278,-39.40269231232746,23.902708224797124,31
